iteration,ratio,objective,residual,left_bc,right_bc
192,8.4719710650e-02,5.5846930295e-01,4.7084668279e-01,4.0617696941e-03,4.7004921362e-03
193,8.4644565847e-02,5.5797395110e-01,4.7056326270e-01,4.0533985011e-03,4.6876701526e-03
194,8.4569757860e-02,5.5748081952e-01,4.7028476000e-01,4.0442706086e-03,4.6753352508e-03
195,8.4495285557e-02,5.5698990077e-01,4.7001111507e-01,4.0347571485e-03,4.6631214209e-03
196,8.4421136507e-02,5.5650111288e-01,4.6974226832e-01,4.0253475308e-03,4.6505369246e-03
197,8.4347303361e-02,5.5601440743e-01,4.6947795153e-01,4.0163393132e-03,4.6373060904e-03
198,8.4273801945e-02,5.5552988872e-01,4.6921756864e-01,4.0077143349e-03,4.6235178597e-03
199,8.4200619825e-02,5.5504747480e-01,4.6896001697e-01,3.9991675876e-03,4.6095782891e-03
200,8.4127737222e-02,5.5456703529e-01,4.6870410442e-01,3.9903707802e-03,4.5959223062e-03
201,8.4055166568e-02,5.5408865213e-01,4.6844911575e-01,3.9811618626e-03,4.5827915892e-03
202,8.3982899953e-02,5.5361227319e-01,4.6819448471e-01,3.9716642350e-03,4.5701144263e-03
203,8.3910939070e-02,5.5313790962e-01,4.6794006228e-01,3.9622047916e-03,4.5575802214e-03
204,8.3839266401e-02,5.5266544595e-01,4.6768569946e-01,3.9530815557e-03,4.5448932797e-03
205,8.3767906248e-02,5.5219504237e-01,4.6743109822e-01,3.9444328286e-03,4.5319618657e-03
206,8.3696820745e-02,5.5172644928e-01,4.6717563272e-01,3.9361263625e-03,4.5189550146e-03
207,8.3626027413e-02,5.5125978217e-01,4.6691852808e-01,3.9279377088e-03,4.5061875135e-03
208,8.3555523990e-02,5.5079502612e-01,4.6665924788e-01,3.9196778089e-03,4.4939001091e-03
209,8.3485306521e-02,5.5033215508e-01,4.6639746428e-01,3.9113019593e-03,4.4821673073e-03
210,8.3415358617e-02,5.4987106100e-01,4.6613302827e-01,3.9029750042e-03,4.4708279893e-03
211,8.3345678583e-02,5.4941173270e-01,4.6586614847e-01,3.8949088193e-03,4.4596497901e-03
212,8.3276287893e-02,5.4895431176e-01,4.6559700370e-01,3.8872652221e-03,4.4484655373e-03
213,8.3207170159e-02,5.4849869013e-01,4.6532541513e-01,3.8800449111e-03,4.4372826815e-03
214,8.3138306167e-02,5.4804474115e-01,4.6505117416e-01,3.8730800152e-03,4.4262767769e-03
215,8.3069714000e-02,5.4759258404e-01,4.6477407217e-01,3.8662122097e-03,4.4156392105e-03
216,8.3001378966e-02,5.4714212194e-01,4.6449401975e-01,3.8593334612e-03,4.4054770842e-03
217,8.2933316322e-02,5.4669345543e-01,4.6421122551e-01,3.8524924312e-03,4.3957303278e-03
218,8.2865495552e-02,5.4624638334e-01,4.6392598748e-01,3.8458171766e-03,4.3862224557e-03
219,8.2797925699e-02,5.4580096528e-01,4.6363869309e-01,3.8394313306e-03,4.3767960742e-03
220,8.2730618628e-02,5.4535727948e-01,4.6334967017e-01,3.8333779667e-03,4.3673827313e-03
221,8.2663570951e-02,5.4491530359e-01,4.6305900812e-01,3.8275814150e-03,4.3580480851e-03
222,8.2596765147e-02,5.4447492212e-01,4.6276670694e-01,3.8218910340e-03,4.3489304371e-03
223,8.2530194436e-02,5.4403609037e-01,4.6247279644e-01,3.8162081037e-03,4.3401210569e-03
224,8.2463874076e-02,5.4359890893e-01,4.6217766404e-01,3.8105105050e-03,4.3316138908e-03
225,8.2397803502e-02,5.4316337407e-01,4.6188166738e-01,3.8048748393e-03,4.3232957833e-03
